X,Y,Z
409617.3052,164982.7333,1855.221191
409628.7284,164966.3165,1858.988892
409640.1515,164949.8997,1865.770752
409651.5747,164933.4829,1868.255127
409662.9978,164917.066,1872.635132
409674.4209,164900.6492,1874.346802
409685.8441,164884.2324,1877.431885
409697.2672,164867.8156,1880.71106
409708.6903,164851.3988,1882.667603
409720.1135,164834.9819,1886.551147
409731.5366,164818.5651,1888.018066
409742.9597,164802.1483,1891.715332
409754.3829,164785.7315,1893.796509
409765.806,164769.3146,1899.64917
409777.2291,164752.8978,1902.406982
409788.6523,164736.481,1904.638428
409800.0754,164720.0642,1902.477783
409811.4985,164703.6474,1899.884521
409822.9217,164687.2305,1899.976685
409834.3448,164670.8137,1901.659302
409845.7679,164654.3969,1906.229614
409857.1911,164637.9801,1907.776978
409868.6142,164621.5633,1911.116211
409880.0373,164605.1464,1914.488159
409891.4605,164588.7296,1914.629761
409902.8836,164572.3128,1916.152222
409914.3067,164555.896,1916.620605
409925.7299,164539.4792,1916.866577
409937.153,164523.0623,1916.093384
409948.5761,164506.6455,1914.374146
409959.9993,164490.2287,1909.752563
409971.4224,164473.8119,1903.545288
409982.8455,164457.3951,1898.674561
409994.2687,164440.9782,1893.8396
410005.6918,164424.5614,1888.550903
410017.115,164408.1446,1885.903076
410028.5381,164391.7278,1882.712891
410039.9612,164375.311,1882.932373
410051.3844,164358.8941,1886.410889
410062.8075,164342.4773,1886.762939
410074.2306,164326.0605,1889.92041
410085.6538,164309.6437,1891.128174
410097.0769,164293.2268,1890.539673
410108.5,164276.81,1892.16687
410119.9232,164260.3932,1890.992188
410131.3463,164243.9764,1890.814209
410142.7694,164227.5596,1890.450439
410154.1926,164211.1427,1889.244629
410165.6157,164194.7259,1887.001221
410177.0388,164178.3091,1885.64563
410188.462,164161.8923,1882.456787
410199.8851,164145.4755,1879.627319
410211.3082,164129.0586,1874.88269
410222.7314,164112.6418,1870.722046
410234.1545,164096.225,1864.558472
410245.5776,164079.8082,1861.507568
410257.0008,164063.3914,1855.160522
410268.4239,164046.9745,1850.930054
410279.847,164030.5577,1849.012329
410291.2702,164014.1409,1845.397339
410302.6933,163997.7241,1843.287964
410314.1164,163981.3073,1841.082031
410325.5396,163964.8904,1838.545654
410336.9627,163948.4736,1835.726685
410348.3858,163932.0568,1843.940186
410359.809,163915.64,1858.759277
410371.2321,163899.2231,1867.34375
410382.6552,163882.8063,1869.825439
410394.0784,163866.3895,1866.913574
410405.5015,163849.9727,1861.745605
410416.9247,163833.5559,1852.780029
410428.3478,163817.139,1853.494995
410439.7709,163800.7222,1860.680908
410451.1941,163784.3054,1868.411255
410462.6172,163767.8886,1870.932373
410474.0403,163751.4718,1876.724976
410485.4635,163735.0549,1879.978638
410496.8866,163718.6381,1885.248291
410508.3097,163702.2213,1887.690674
410519.7329,163685.8045,1893.629028
410531.156,163669.3877,1897.351807
410542.5791,163652.9708,1904.319824
410554.0023,163636.554,1911.8396
410565.4254,163620.1372,1914.456665
410576.8485,163603.7204,1920.207153
410588.2717,163587.3036,1921.718262
410599.6948,163570.8867,1924.989258
410611.1179,163554.4699,1924.818848
410622.5411,163538.0531,1923.552612
410633.9642,163521.6363,1922.040283
410645.3873,163505.2195,1920.909668
410656.8105,163488.8026,1918.196045
410668.2336,163472.3858,1915.077881
410679.6567,163455.969,1913.325439
410691.0799,163439.5522,1909.533936
410702.503,163423.1353,1907.34314
410713.9261,163406.7185,1904.243774
410725.3493,163390.3017,1900.272583
410736.7724,163373.8849,1897.209839
410748.1955,163357.4681,1893.626465
410759.6187,163341.0512,1889.783325
410771.0418,163324.6344,1888.258057
410782.4649,163308.2176,1885.039063
410793.8881,163291.8008,1882.408447
410805.3112,163275.384,1879.966431
410816.7344,163258.9671,1877.198975
410828.1575,163242.5503,1873.25415
410839.5806,163226.1335,1869.516846
410851.0038,163209.7167,1866.149536
410862.4269,163193.2999,1861.697021
410873.85,163176.883,1858.812134
410885.2732,163160.4662,1853.821777
410896.6963,163144.0494,1853.678101
410908.1194,163127.6326,1855.915894
410919.5426,163111.2158,1859.169922
410930.9657,163094.7989,1859.960205
410942.3888,163078.3821,1864.122437
410953.812,163061.9653,1861.768921
410965.2351,163045.5485,1857.035034
410976.6582,163029.1317,1854.14502
410988.0814,163012.7148,1847.691528
410999.5045,162996.298,1844.134521
411010.9276,162979.8812,1843.361694
411022.3508,162963.4644,1845.56311
411033.7739,162947.0475,1846.465088
411045.197,162930.6307,1848.362427
411056.6202,162914.2139,1848.762939
411068.0433,162897.7971,1850.665283
411079.4664,162881.3803,1850.88623
411090.8896,162864.9634,1851.990723
411102.3127,162848.5466,1853.35022
411113.7358,162832.1298,1852.955688
411125.159,162815.713,1852.394165
411136.5821,162799.2962,1851.181763
411148.0052,162782.8793,1848.47522
411159.4284,162766.4625,1845.58313
411170.8515,162750.0457,1844.547729
411182.2746,162733.6289,1841.686523
411193.6978,162717.2121,1839.80957
411205.1209,162700.7952,1840.005859
411216.5441,162684.3784,1839.094727
411227.9672,162667.9616,1839.205322
411239.3903,162651.5448,1839.217773
411250.8135,162635.128,1838.276611
411262.2366,162618.7111,1835.481567
411273.6597,162602.2943,1833.040527
