POINT_X,POINT_Y,RASTERVALU
426278.713,137834.0137,1578.398071
426295.0666,137822.5003,1578.536743
426311.4202,137810.9869,1578.248901
426327.7738,137799.4734,1576.855957
426344.1275,137787.96,1575.170044
426360.4811,137776.4466,1573.924927
426376.8347,137764.9331,1574.086792
426393.1883,137753.4197,1576.117432
426409.5419,137741.9063,1577.949341
426425.8955,137730.3928,1580.331055
426442.2492,137718.8794,1581.763184
426458.6028,137707.3659,1582.828125
426474.9564,137695.8525,1583.522339
426491.31,137684.3391,1583.8927
426507.6636,137672.8256,1583.385254
426524.0172,137661.3122,1582.468628
426540.3709,137649.7988,1580.447144
426556.7245,137638.2853,1578.433472
426573.0781,137626.7719,1576.682129
426589.4317,137615.2585,1574.927246
426605.7853,137603.745,1575.635376
426622.1389,137592.2316,1576.085205
426638.4926,137580.7181,1575.859863
426654.8462,137569.2047,1574.111206
426671.1998,137557.6913,1571.733765
426687.5534,137546.1778,1568.278198
426703.907,137534.6644,1563.666138
426720.2606,137523.151,1560.302979
426736.6143,137511.6375,1556.286987
426752.9679,137500.1241,1550.745605
426769.3215,137488.6107,1546.806763
426785.6751,137477.0972,1541.951782
426802.0287,137465.5838,1539.301636
426818.3823,137454.0703,1542.420044
426834.736,137442.5569,1546.595215
426851.0896,137431.0435,1550.051392
426867.4432,137419.53,1548.877319
426883.7968,137408.0166,1547.032593
426900.1504,137396.5032,1547.589722
426916.504,137384.9897,1550.353882
426932.8577,137373.4763,1551.777222
426949.2113,137361.9629,1552.156616
426965.5649,137350.4494,1552.286011
426981.9185,137338.936,1551.427368
426998.2721,137327.4225,1549.671021
427014.6257,137315.9091,1545.924316
427030.9794,137304.3957,1539.090576
427047.333,137292.8822,1536.432983
427063.6866,137281.3688,1535.419434
427080.0402,137269.8554,1534.178223
427096.3938,137258.3419,1533.488037
427112.7474,137246.8285,1532.612793
427129.1011,137235.3151,1531.404541
427145.4547,137223.8016,1533.294556
427161.8083,137212.2882,1537.487061
427178.1619,137200.7747,1538.668335
427194.5155,137189.2613,1542.433228
427210.8691,137177.7479,1544.602173
427227.2228,137166.2344,1546.963257
427243.5764,137154.721,1547.6875
427259.93,137143.2076,1544.593628
427276.2836,137131.6941,1543.65271
427292.6372,137120.1807,1542.988037
427308.9908,137108.6673,1542.473267
427325.3445,137097.1538,1541.769043
427341.6981,137085.6404,1541.403564
427358.0517,137074.1269,1541.105591
427374.4053,137062.6135,1542.013672
427390.7589,137051.1001,1544.071777
427407.1125,137039.5866,1547.876221
427423.4662,137028.0732,1549.224487
427439.8198,137016.5598,1549.944336
427456.1734,137005.0463,1551.487183
427472.527,136993.5329,1551.730225
427488.8806,136982.0195,1549.567627
427505.2342,136970.506,1549.830322
427521.5879,136958.9926,1552.813477
427537.9415,136947.4791,1556.053223
427554.2951,136935.9657,1558.783325
427570.6487,136924.4523,1561.973022
427587.0023,136912.9388,1561.774414
427603.3559,136901.4254,1561.804077
427619.7096,136889.912,1562.825439
427636.0632,136878.3985,1562.010376
427652.4168,136866.8851,1560.382813
427668.7704,136855.3717,1559.165527
427685.124,136843.8582,1559.116821
427701.4776,136832.3448,1558.948242
427717.8313,136820.8313,1559.389771
427734.1849,136809.3179,1560.557007
427750.5385,136797.8045,1561.069458
427766.8921,136786.291,1561.458984
427783.2457,136774.7776,1562.437744
427799.5993,136763.2642,1561.759155
427815.953,136751.7507,1560.593018
427832.3066,136740.2373,1558.65564
427848.6602,136728.7239,1556.527466
