POINT_X,POINT_Y,RASTERVALU
450566.2289,5055079.981,1623.209717
450582.7262,5055068.676,1625.733765
450599.2235,5055057.371,1630.365601
450615.7208,5055046.066,1635.362305
450632.2182,5055034.761,1639.398804
450648.7155,5055023.456,1643.36731
450665.2128,5055012.151,1646.663696
450681.7102,5055000.846,1650.391724
450698.2075,5054989.541,1653.759277
450714.7048,5054978.236,1656.436768
450731.2022,5054966.931,1659.130005
450747.6995,5054955.626,1662.207642
450764.1968,5054944.321,1665.935669
450780.6941,5054933.016,1671.350098
450797.1914,5054921.711,1672.991455
450813.6887,5054910.406,1673.255493
450832.108,5054902.635,1669.118774
450850.5635,5054894.93,1660.954346
450869.019,5054887.226,1655.994385
450887.4744,5054879.521,1650.695068
450905.9298,5054871.817,1648.725464
450924.3853,5054864.112,1644.389771
450942.8408,5054856.407,1641.199341
450961.2963,5054848.703,1637.924805
450979.7516,5054840.998,1635.806885
450998.2071,5054833.294,1634.341309
451016.6626,5054825.589,1633.698486
451035.118,5054817.884,1632.330933
451053.5735,5054810.18,1633.568115
451072.0288,5054802.475,1637.630859
451090.4843,5054794.771,1642.372192
451108.9398,5054787.066,1645.487427
451127.3952,5054779.361,1648.254395
451145.8507,5054771.657,1652.354492
451164.306,5054763.952,1655.575195
451182.7615,5054756.248,1658.828857
451201.2169,5054748.543,1663.307617
451219.6724,5054740.838,1667.503174
451238.1277,5054733.134,1665.695435
451256.5832,5054725.429,1663.907837
451275.0386,5054717.724,1657.911499
451293.4941,5054710.02,1653.995117
451311.9495,5054702.315,1650.143433
451330.4049,5054694.611,1649.269531
451348.8603,5054686.906,1646.229736
451367.3157,5054679.201,1643.941528
451385.7712,5054671.497,1647.091064
451404.2266,5054663.792,1652.17627
451422.6819,5054656.088,1656.494263
451441.1374,5054648.383,1661.963989
451459.5928,5054640.678,1664.496948
451478.0482,5054632.974,1670.83313
451496.5037,5054625.269,1675.342041
451514.959,5054617.564,1681.229004
451533.4144,5054609.86,1687.244141
451551.8698,5054602.155,1691.118286
451570.3253,5054594.45,1692.735352
451588.7807,5054586.746,1691.635376
451607.236,5054579.041,1686.128052
451625.6914,5054571.337,1679.664429
451644.1469,5054563.632,1673.336182
451662.6023,5054555.927,1669.012817
451681.0576,5054548.223,1666.010498
451699.513,5054540.518,1662.065918
451717.9684,5054532.813,1660.375244
451736.4238,5054525.109,1653.696167
451754.8792,5054517.404,1650.570923
451773.3345,5054509.7,1646.329224
451791.79,5054501.995,1644.192871
451810.2454,5054494.29,1640.860474
451828.7008,5054486.586,1634.925781
451847.1562,5054478.881,1631.563843
451865.6115,5054471.176,1627.298218
451884.0669,5054463.472,1624.491089
451902.5223,5054455.767,1619.069336
451920.9777,5054448.062,1615.661621
451939.4331,5054440.358,1613.086914
451957.8884,5054432.653,1608.379639
451976.3437,5054424.949,1603.0177
451994.7991,5054417.244,1599.598511
452013.2545,5054409.539,1598.48938
452031.7098,5054401.835,1596.477783
452050.1652,5054394.13,1594.996338
452068.6206,5054386.425,1593.540771
452087.076,5054378.721,1597.86084
452105.5314,5054371.016,1596.46106
452123.9866,5054363.311,1595.354736
452142.442,5054355.607,1593.671509
452160.8974,5054347.902,1594.352539
452179.3528,5054340.197,1591.96228
452197.8082,5054332.493,1593.038696
452216.2634,5054324.788,1593.130859
452234.7188,5054317.083,1594.859375
452253.1742,5054309.379,1594.151978
452271.6296,5054301.674,1594.448853
452290.0849,5054293.969,1592.989868
452308.5402,5054286.265,1594.570435
452326.9956,5054278.56,1596.385864
452345.4509,5054270.855,1592.348877
452363.9063,5054263.151,1592.911743
452382.3616,5054255.446,1596.999512
452400.8169,5054247.741,1602.873657
452419.2723,5054240.037,1611.151245
452437.7276,5054232.332,1614.315674
452456.183,5054224.628,1615.375854
452474.6383,5054216.923,1614.335083
452493.0936,5054209.218,1616.070435
452511.549,5054201.514,1621.768188
452530.0043,5054193.809,1622.949829
452548.4597,5054186.104,1620.710693
452566.9149,5054178.399,1614.815063
452585.3703,5054170.695,1608.359253
452603.8256,5054162.99,1600.990967
452622.281,5054155.285,1593.932251
452640.7363,5054147.581,1592.086548
452659.1915,5054139.876,1590.668213
452677.6469,5054132.172,1588.20166
452696.1022,5054124.467,1585.099609
452714.5576,5054116.762,1585.467163
452733.0128,5054109.058,1590.509521
452751.4681,5054101.353,1596.441406
452769.9235,5054093.648,1600.098511
452788.3788,5054085.943,1604.317505
452806.8341,5054078.239,1607.623535
452825.2894,5054070.534,1610.032349
452843.7447,5054062.829,1610.787964
452862.2,5054055.125,1611.444458
452880.6553,5054047.42,1615.064941
452899.1107,5054039.715,1618.041138
452917.5659,5054032.011,1622.286987
452936.0212,5054024.306,1625.241455
452954.4765,5054016.601,1628.424561
452972.9319,5054008.897,1633.177368
452991.3872,5054001.192,1635.149536
453009.8424,5053993.487,1636.164673
453028.2977,5053985.783,1631.89563
453046.753,5053978.078,1626.674927
453065.2083,5053970.373,1625.333618
453083.6636,5053962.669,1622.525146
453102.1189,5053954.964,1621.385742
453120.5742,5053947.259,1620.518311
453139.0295,5053939.554,1619.714233
453157.4848,5053931.85,1617.58606
453175.94,5053924.145,1613.25293
453194.3953,5053916.44,1608.220093
453212.8506,5053908.736,1603.823364
453231.3059,5053901.031,1600.119507
453249.7612,5053893.326,1597.348755
453268.2164,5053885.622,1592.000854
453286.6717,5053877.917,1589.192261
453305.127,5053870.212,1583.334106
453323.5823,5053862.508,1580.579102
453342.0376,5053854.803,1576.4646
453360.4927,5053847.098,1578.373901
453378.948,5053839.393,1576.974243
453397.4033,5053831.689,1572.130127
453415.8586,5053823.984,1566.208862
453434.3139,5053816.279,1568.373535
453452.7691,5053808.575,1569.649414
453471.2244,5053800.87,1572.221924
453489.6796,5053793.165,1574.591919
453508.1349,5053785.461,1565.811157
453526.5901,5053777.756,1559.95105
453545.0454,5053770.051,1562.790283
453563.5007,5053762.346,1562.628784
453581.9559,5053754.642,1559.661011
453600.4112,5053746.937,1555.428345
453618.8664,5053739.232,1553.078857
453637.3216,5053731.528,1549.001343
453655.7769,5053723.823,1548.992554
453674.2322,5053716.118,1553.241699
453692.6874,5053708.413,1557.984741
453711.1426,5053700.709,1555.962891
453729.5979,5053693.004,1559.491699
453748.0531,5053685.299,1559.162354
453766.5084,5053677.595,1555.913208
453784.9636,5053669.89,1551.038452
453803.4188,5053662.185,1548.914307
453821.8741,5053654.48,1546.074829
453840.3293,5053646.776,1543.086426
453858.7846,5053639.071,1536.39624
453876.0097,5053628.975,1533.362305
453893.0102,5053618.442,1528.112427
453910.0108,5053607.909,1524.878052
453927.0114,5053597.377,1522.544067
453944.0119,5053586.844,1519.595459
453961.0124,5053576.311,1517.295532
453978.0129,5053565.778,1516.246826
453995.0135,5053555.245,1516.000854
454012.0141,5053544.713,1515.040039
454029.0146,5053534.18,1514.78833
454046.0152,5053523.647,1514.293823
454063.0158,5053513.114,1514.088501
454080.0162,5053502.582,1514.128662
454097.0168,5053492.049,1513.51355
454114.0174,5053481.516,1512.603638
454131.0179,5053470.983,1511.477783
454148.0185,5053460.451,1510.740479
454165.019,5053449.918,1509.894409
454182.0195,5053439.385,1509.007324
454199.0201,5053428.852,1508.36853
454216.0205,5053418.32,1507.938843
454233.0211,5053407.787,1507.777588
454250.0217,5053397.254,1507.408691
454267.0221,5053386.721,1506.648682
454284.0227,5053376.188,1506.131958
454301.0233,5053365.656,1506.827026
454318.0237,5053355.123,1511.518066
454335.0243,5053344.59,1513.957153
454352.0248,5053334.057,1516.13501
454369.0253,5053323.525,1518.739014
454386.0259,5053312.992,1519.827026
454403.0264,5053302.459,1520.779175
454420.0269,5053291.926,1521.851318
454437.0274,5053281.394,1523.446777
454454.0279,5053270.861,1525.718262
454471.0284,5053260.328,1528.641357
454488.0289,5053249.795,1531.592773
454505.0294,5053239.262,1533.093994
454522.0299,5053228.73,1534.575439
454539.0305,5053218.197,1535.466431
454556.0309,5053207.664,1535.366455
454573.0314,5053197.131,1535.518433
454590.032,5053186.599,1536.186157
454607.0324,5053176.066,1536.421509
454624.033,5053165.533,1536.712646
454641.0334,5053155,1536.569946
454658.0339,5053144.467,1536.698975
454675.0344,5053133.935,1536.204102
454692.0349,5053123.402,1534.156494
454709.0354,5053112.869,1533.591553
454726.0359,5053102.336,1532.742188
454743.0363,5053091.804,1532.884277
454760.0369,5053081.271,1532.634155
454777.0374,5053070.738,1530.647339
454794.0378,5053060.205,1529.214478
454811.0383,5053049.672,1527.619629
454828.0388,5053039.14,1524.766479
454845.0392,5053028.607,1524.199219
454862.0397,5053018.074,1524.314941
454879.0402,5053007.541,1524.08313
454896.0407,5052997.009,1524.134277
454913.0412,5052986.476,1522.30603
454930.0416,5052975.943,1521.381348
454947.0421,5052965.41,1520.440063
454964.0426,5052954.878,1517.734009
454981.043,5052944.345,1516.744995
454998.0435,5052933.812,1516.324097
455015.044,5052923.279,1514.371582
455032.0444,5052912.746,1512.533447
455049.0449,5052902.214,1509.484985
455066.0454,5052891.681,1504.187866
455083.0458,5052881.148,1498.804443
455100.0462,5052870.615,1491.097534
455117.0466,5052860.082,1487.891602
455134.0471,5052849.55,1490.963501
455151.0476,5052839.017,1498.078979
455168.048,5052828.484,1503.13269
455185.0485,5052817.951,1502.293701
455202.0489,5052807.419,1497.342773
455219.0493,5052796.886,1494.160767
455236.0498,5052786.353,1489.202637
455253.0503,5052775.82,1485.05603
455270.0507,5052765.287,1481.111816
455287.0511,5052754.755,1473.420166
455304.0516,5052744.222,1470.244507
455321.052,5052733.689,1467.204956
455338.0524,5052723.156,1464.444214
455355.0528,5052712.624,1464.664551
455372.0533,5052702.091,1464.941528
455389.0537,5052691.558,1464.188843
455406.0541,5052681.025,1463.751831
455423.0546,5052670.492,1461.572388
455440.055,5052659.96,1458.68689
455457.0554,5052649.427,1457.053467
455474.0558,5052638.894,1454.611328
455491.0563,5052628.361,1454.139648
455508.0566,5052617.828,1453.598999
455525.0571,5052607.296,1451.282104
455542.0575,5052596.763,1449.631958
455559.0579,5052586.23,1447.636841
455576.0583,5052575.697,1445.042847
455593.0587,5052565.165,1443.041626
455610.0591,5052554.632,1439.172729
455627.0596,5052544.099,1435.898071
455644.0599,5052533.566,1432.760132
455661.0603,5052523.033,1429.916748
455678.0608,5052512.501,1427.357422
455695.0611,5052501.968,1424.196777
455712.0616,5052491.435,1423.033325
455729.062,5052480.902,1422.541748
455746.0623,5052470.369,1422.071411
455763.0627,5052459.837,1421.155151
455780.0632,5052449.304,1419.694092
455797.0635,5052438.771,1418.498291
455814.0639,5052428.238,1416.824097
455831.0643,5052417.705,1414.401001
455848.0647,5052407.173,1411.560425
455865.0651,5052396.64,1409.510132
455882.0654,5052386.107,1408.126709
455899.0658,5052375.574,1405.663208
455916.0663,5052365.041,1402.419556
455933.0666,5052354.509,1401.123779
455950.067,5052343.976,1400.313843
455967.0674,5052333.443,1394.721802
455984.0677,5052322.91,1389.969727
456001.0681,5052312.377,1388.446533
456018.0685,5052301.845,1384.250244
456035.0688,5052291.312,1381.636963
456052.0692,5052280.779,1378.858398
456069.0695,5052270.246,1377.639648
456086.0699,5052259.713,1378.882446
456103.0703,5052249.181,1379.386475
456120.0706,5052238.648,1378.773193
456137.071,5052228.115,1376.442383
456154.0714,5052217.582,1371.779053
456171.0717,5052207.05,1367.214966
456188.0721,5052196.517,1366.257568
456205.0725,5052185.984,1365.912231
456222.0728,5052175.451,1365.078979
